snapshot_id,run_id,url,content_hash,last_modified,status_code,changed_flag,observed_at
10,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/dentists,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.025868+00:00
20,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/foundation-repair,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.039690+00:00
14,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/hvac,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.032418+00:00
5,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.016546+00:00
49,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/builder-incentives,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.072975+00:00
34,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/case-study,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.056554+00:00
35,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/data-maturity,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.057751+00:00
45,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/map-pack-playbook,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.068226+00:00
53,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/recruiting,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.077743+00:00
47,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/site-speed,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.070645+00:00
30,8946f235-727a-4b28-b3d1-cb0b887325a9,https://www.void-agency.com/insights/smb-guide,0e6081a0d08df6df7862893098e9c033c720c6eafb165be5f9a9c3307fa8f3df,"Wed, 15 Apr 2026 18:50:10 GMT",200,1,2026-04-19T19:25:32.051814+00:00
