session_id,run_id,url,used_render,wait_profile,interaction_count,action_recipe,failure_family,console_errors_json,console_warnings_json,network_endpoints_json
22,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/builder-incentives,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/case-study,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
9,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/data-maturity,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
10,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/map-pack-playbook,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
23,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/recruiting,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/site-speed,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/smb-guide,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
24,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-cost-stack,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
25,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-market-2026,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
26,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/texas-seo,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
27,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights/video-strategy,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
28,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Growth,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
29,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Local+SEO,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
30,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Performance,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
31,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=Real+Estate,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/insights?topic=SMB,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
14,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/lawyers,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
15,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/med-spas,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/orthodontists,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/plumbers,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
18,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/privacy,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
19,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/smbs,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
20,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/terms,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
21,3c174164-cb26-4fb2-adad-387bab3dda2b,https://www.void-agency.com/vets,1,domcontentloaded;load;stability:2;completeness:pass,0,none,,[],[],"[""https://aplo-evnt.com/api/v1/intent_pixel/can_track_visitor?x_app_id=696f0f68f61150001d19ad7c"", ""https://aplo-evnt.com/api/v1/intent_pixel/track_request?app_id=696f0f68f61150001d19ad7c""]"
